city_state_id,city_state,state_id
767,brejo alegre/SP,1
768,brejo da madre de deus/PE,9
769,brejo de areia/MA,14
770,brejo do cruz/PB,11
771,brejo do piaui/PI,13
772,brejo dos santos/PB,11
773,brejo grande do araguaia/PA,15
774,brejo grande/SE,8
775,brejo santo/CE,12
776,brejo/MA,14
777,brejoes/BA,7
778,brejolandia/BA,7
779,breu branco/PA,15
780,breves/PA,15
781,britania/GO,20
782,brochier/RS,25
783,brodowski/SP,1
784,brotas de macaubas/BA,7
785,brotas/SP,1
786,brumadinho/MG,6
787,brumado/BA,7
788,brunopolis/SC,27
789,brusque/SC,27
790,bueno brandao/MG,6
791,buenopolis/MG,6
792,buenos aires/PE,9
793,buerarema/BA,7
794,bugre/MG,6
795,buique/PE,9
796,bujari/AC,3
797,bujaru/PA,15
798,buri/SP,1
799,buritama/SP,1
800,buriti alegre/GO,20
801,buriti bravo/MA,14
802,buriti de goias/GO,20
803,buriti do tocantins/TO,22
804,buriti dos lopes/PI,13
805,buriti dos montes/PI,13
806,buriti/MA,14
807,buriticupu/MA,14
808,buritinopolis/GO,20
809,buritirama/BA,7
810,buritirana/MA,14
811,buritis/MG,6
812,buritis/RO,21
813,buritizal/SP,1
814,buritizeiro/MG,6
815,butia/RS,25
816,caapiranga/AM,17
817,caapora/PB,11
818,caarapo/MS,24
819,caatiba/BA,7
820,cabaceiras do paraguacu/BA,7
821,cabaceiras/PB,11
822,cabeceira grande/MG,6
823,cabeceiras do piaui/PI,13
824,cabeceiras/GO,20
825,cabedelo/PB,11
826,cabixi/RO,21
827,cabo de santo agostinho/PE,9
828,cabo frio/RJ,4
829,cabo verde/MG,6
830,cabralia paulista/SP,1
831,cabreuva/SP,1
832,cabrobo/PE,9
833,cacador/SC,27
834,cacapava do sul/RS,25
835,cacapava/SP,1
836,cacaulandia/RO,21
837,cacequi/RS,25
838,caceres/MT,23
839,cachoeira alta/GO,20
840,cachoeira da prata/MG,6
841,cachoeira de goias/GO,20
842,cachoeira de minas/MG,6
