code_zip_prefix_id,code_zip_prefix
220,1430
221,1404
222,1442
223,1407
224,1418
225,1472
226,1443
227,1428
228,1434
229,1457
230,1412
231,1448
232,1456
233,1432
234,1441
235,1489
236,1429
237,1450
238,1440
239,1438
240,1444
241,1436
242,1447
243,1439
244,1431
245,1437
246,1526
247,1509
248,1504
249,1536
250,1535
251,1511
252,1534
253,1514
254,1529
255,1539
256,1532
257,1542
258,1548
259,1543
260,1544
261,1546
262,1523
263,1506
264,1518
265,1510
266,1537
267,1531
268,1549
269,1533
270,1525
271,1520
272,1550
273,1503
274,1541
275,1545
276,1522
277,1508
278,1519
279,1547
280,1538
281,1501
282,1521
283,1530
284,1505
285,1502
286,1551
287,1540
288,1528
289,1513
290,1527
291,1524
292,1507
293,1512
294,1552
295,1553
296,1516
297,1517
298,2019
299,2069
300,2067
301,2020
302,2075
303,2012
304,2076
305,2035
306,2034
307,2022
308,2021
309,2080
310,2066
311,2085
312,2030
313,2064
314,2029
315,2060
316,2054
317,2072
318,2017
319,2018
320,2043
321,2074
322,2038
323,2016
324,2040
325,2056
326,2051
327,2041
328,2039
329,2073
330,2082
331,2033
332,2013
333,2079
334,2037
335,2083
336,2068
337,2071
338,2047
339,2078
340,2044
341,2084
342,2055
343,2042
344,2045
345,2036
346,2046
347,2010
348,2081
349,2050
350,2052
351,2031
352,2028
353,2065
354,2077
355,2011
356,2049
357,2032
358,2053
359,2009
360,2089
361,2088
362,2150
363,2133
364,2167
365,2130
366,2188
367,2152
368,2138
369,2134
370,2176
371,2117
372,2119
373,2131
374,2124
375,2129
376,2132
377,2110
378,2135
379,2127
380,2114
381,2178
382,2177
383,2120
384,2161
385,2112
386,2126
387,2169
388,2123
389,2189
390,2128
391,2179
392,2136
393,2174
394,2186
395,2137
396,2185
397,2181
398,2180
399,2111
400,2187
401,2121
402,2190
403,2139
404,2143
405,2122
406,2115
407,2118
408,2125
409,2113
410,2147
411,2141
412,2170
413,2166
414,2175
415,2168
416,2116
417,2145
418,2151
419,2146
420,2144
421,2162
422,2142
423,2251
424,2256
425,2246
426,2223
427,2225
428,2204
429,2235
430,2245
431,2243
432,2208
433,2222
434,2232
435,2203
436,2250
437,2263
438,2238
439,2261
440,2267
441,2270
442,2227
443,2273
444,2244
445,2229
446,2215
447,2259
448,2228
449,2254
450,2218
451,2247
452,2226
453,2274
454,2220
455,2217
456,2265
457,2276
458,2242
459,2269
460,2221
461,2279
462,2249
463,2237
464,2206
465,2258
466,2236
467,2205
468,2241
469,2219
470,2257
471,2230
472,2210
473,2266
474,2211
475,2280
476,2278
477,2264
478,2201
479,2253
480,2281
481,2248
482,2255
483,2277
484,2272
485,2271
486,2282
487,2224
488,2275
489,2233
490,2209
491,2212
492,2288
493,2260
494,2234
495,2213
496,2202
497,2262
498,2216
499,2214
500,2268
501,2207
502,2239
503,2252
504,2240
505,2231
506,2290
507,2284
508,2289
509,2286
510,2309
511,2377
512,2371
513,2323
514,2311
515,2374
516,2316
517,2366
518,2321
519,2315
520,2330
521,2319
522,2312
523,2341
524,2334
525,2347
526,2365
527,2375
528,2372
529,2367
530,2343
531,2306
532,2313
533,2305
534,2340
535,2360
536,2344
537,2348
538,2322
539,2356
540,2352
541,2358
542,2308
543,2318
544,2337
545,2342
546,2355
547,2303
548,2363
549,2324
550,2373
551,2302
552,2350
553,2378
554,2317
555,2351
556,2301
557,2332
558,2376
559,2326
560,2335
561,2346
562,2362
563,2357
564,2329
565,2314
566,2310
567,2325
568,2354
569,2320
570,2361
571,2338
572,2331
573,2333
574,2307
575,2349
576,2353
577,2336
578,2339
579,2368
580,2370
581,2328
582,2359
583,2345
584,2327
585,2364
586,2304
587,2430
588,2402
589,2442
590,2409
591,2467
592,2422
593,2441
594,2452
595,2435
596,2464
